time channel1 channel2 channel3 channel4 channel5 channel6 channel7 channel8 class
801 2.9999999999999997e-05 -2e-05 -4e-05 0.0 -0.00011999999999999999 -2.9999999999999997e-05 -1e-05 -2e-05 1
802 2.9999999999999997e-05 -2e-05 -4e-05 0.0 -0.00011999999999999999 -2.9999999999999997e-05 -1e-05 -2e-05 1
803 2.9999999999999997e-05 -2e-05 -4e-05 0.0 -0.00011999999999999999 -2.9999999999999997e-05 -1e-05 -2e-05 1
804 2.9999999999999997e-05 -2e-05 -4e-05 0.0 -0.00011999999999999999 -2.9999999999999997e-05 -1e-05 -2e-05 1
805 2.9999999999999997e-05 -2e-05 -4e-05 0.0 -0.00011999999999999999 -2.9999999999999997e-05 -1e-05 -2e-05 1
806 2.9999999999999997e-05 -2e-05 -4e-05 0.0 -0.00011999999999999999 -2.9999999999999997e-05 -1e-05 -2e-05 1
807 2.9999999999999997e-05 -2e-05 -4e-05 0.0 -0.00011999999999999999 -2.9999999999999997e-05 -1e-05 -2e-05 1
808 2.9999999999999997e-05 -2e-05 -4e-05 0.0 -0.00011999999999999999 -2.9999999999999997e-05 -1e-05 -2e-05 1
809 2.9999999999999997e-05 -2e-05 -4e-05 0.0 -0.00011999999999999999 -2.9999999999999997e-05 -1e-05 -2e-05 1
810 2.9999999999999997e-05 -2e-05 -4e-05 0.0 -0.00011999999999999999 -2.9999999999999997e-05 -1e-05 -2e-05 1
811 1e-05 1e-05 -2.9999999999999997e-05 -5.9999999999999995e-05 -0.00011 -2e-05 -1e-05 -1e-05 1
812 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
813 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
814 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
815 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
816 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
817 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
818 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
819 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
820 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
821 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
822 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
823 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
824 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
825 4e-05 -1e-05 2e-05 0.00016 1e-05 2e-05 1e-05 0.0 1
826 -2.9999999999999997e-05 -5e-05 -2e-05 4e-05 -5e-05 -2e-05 -2e-05 1e-05 1
827 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
828 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
829 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
830 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
831 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
832 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
833 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
834 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
835 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
836 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
838 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
839 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
840 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
841 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
842 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
843 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
844 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
845 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
846 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
847 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
848 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
849 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
850 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
851 2e-05 1e-05 5e-05 2.9999999999999997e-05 2e-05 -1e-05 -1e-05 0.0 1
