time channel1 channel2 channel3 channel4 channel5 channel6 channel7 channel8 class
806 -2e-05 -5e-05 0.0 -2e-05 0.0 0.0 -1e-05 1e-05 1
807 -2e-05 -5e-05 0.0 -2e-05 0.0 0.0 -1e-05 1e-05 1
808 -2e-05 -5e-05 0.0 -2e-05 0.0 0.0 -1e-05 1e-05 1
809 -2e-05 -5e-05 0.0 -2e-05 0.0 0.0 -1e-05 1e-05 1
810 -2e-05 -5e-05 0.0 -2e-05 0.0 0.0 -1e-05 1e-05 1
811 -2e-05 -5e-05 0.0 -2e-05 0.0 0.0 -1e-05 1e-05 1
812 -2e-05 -5e-05 0.0 -2e-05 0.0 0.0 -1e-05 1e-05 1
813 -2e-05 -5e-05 0.0 -2e-05 0.0 0.0 -1e-05 1e-05 1
814 -2e-05 -5e-05 0.0 -2e-05 0.0 0.0 -1e-05 1e-05 1
815 -2e-05 -5e-05 0.0 -2e-05 0.0 0.0 -1e-05 1e-05 1
816 -2e-05 -5e-05 0.0 -2e-05 0.0 0.0 -1e-05 1e-05 1
817 -2e-05 -5e-05 0.0 -2e-05 0.0 0.0 -1e-05 1e-05 1
818 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -2.9999999999999997e-05 0.0 -2.9999999999999997e-05 2e-05 1
819 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -2.9999999999999997e-05 0.0 -2.9999999999999997e-05 2e-05 1
820 0.0 -1e-05 -2.9999999999999997e-05 2e-05 -2e-05 1e-05 2e-05 5e-05 1
821 0.0 -1e-05 -2.9999999999999997e-05 2e-05 -2e-05 1e-05 2e-05 5e-05 1
822 0.0 -1e-05 -2.9999999999999997e-05 2e-05 -2e-05 1e-05 2e-05 5e-05 1
823 0.0 -1e-05 -2.9999999999999997e-05 2e-05 -2e-05 1e-05 2e-05 5e-05 1
824 0.0 -1e-05 -2.9999999999999997e-05 2e-05 -2e-05 1e-05 2e-05 5e-05 1
825 0.0 -1e-05 -2.9999999999999997e-05 2e-05 -2e-05 1e-05 2e-05 5e-05 1
826 0.0 -1e-05 -2.9999999999999997e-05 2e-05 -2e-05 1e-05 2e-05 5e-05 1
827 0.0 -1e-05 -2.9999999999999997e-05 2e-05 -2e-05 1e-05 2e-05 5e-05 1
828 0.0 -1e-05 -2.9999999999999997e-05 2e-05 -2e-05 1e-05 2e-05 5e-05 1
829 0.0 -1e-05 -2.9999999999999997e-05 2e-05 -2e-05 1e-05 2e-05 5e-05 1
830 0.0 -1e-05 -2.9999999999999997e-05 2e-05 -2e-05 1e-05 2e-05 5e-05 1
831 0.0 -1e-05 -2.9999999999999997e-05 2e-05 -2e-05 1e-05 2e-05 5e-05 1
832 0.0 0.0 1e-05 -2e-05 -2e-05 1e-05 -2e-05 2e-05 1
833 0.0 0.0 1e-05 -2e-05 -2e-05 1e-05 -2e-05 2e-05 1
834 0.0 0.0 1e-05 -2e-05 -2e-05 1e-05 -2e-05 2e-05 1
835 0.0 0.0 1e-05 -2e-05 -2e-05 1e-05 -2e-05 2e-05 1
836 0.0 0.0 1e-05 -2e-05 -2e-05 1e-05 -2e-05 2e-05 1
837 0.0 0.0 1e-05 -2e-05 -2e-05 1e-05 -2e-05 2e-05 1
838 0.0 0.0 1e-05 -2e-05 -2e-05 1e-05 -2e-05 2e-05 1
839 0.0 0.0 1e-05 -2e-05 -2e-05 1e-05 -2e-05 2e-05 1
840 0.0 0.0 1e-05 -2e-05 -2e-05 1e-05 -2e-05 2e-05 1
841 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
842 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
843 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
844 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
845 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
846 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
847 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
848 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
849 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
850 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
851 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
852 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
853 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
854 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
855 -4e-05 -5e-05 0.0 1e-05 -1e-05 -1e-05 2e-05 4e-05 1
856 -1e-05 -1e-05 -1e-05 1e-05 0.0 -1e-05 -8e-05 5.9999999999999995e-05 1
857 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
858 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
859 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
860 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
861 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
862 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
863 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
864 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
865 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
866 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
867 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
868 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
869 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
870 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
871 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
872 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
873 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
874 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
875 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
876 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
877 1e-05 1e-05 0.0 2e-05 -1e-05 1e-05 -2e-05 -5.9999999999999995e-05 1
878 -2e-05 -2.9999999999999997e-05 -5e-05 -2e-05 1e-05 1e-05 -2e-05 1e-05 1
879 -2e-05 -2.9999999999999997e-05 -5e-05 -2e-05 1e-05 1e-05 -2e-05 1e-05 1
880 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
881 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
882 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
883 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
884 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
885 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
886 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
887 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
888 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
889 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
890 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
891 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
892 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
893 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
894 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
895 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
896 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
897 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
898 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
899 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
900 1e-05 0.0 0.0 -2e-05 -1e-05 -2e-05 0.0 -1e-05 1
901 -5.9999999999999995e-05 -2e-05 -2.9999999999999997e-05 1e-05 -2.9999999999999997e-05 -5e-05 5.9999999999999995e-05 -0.00022999999999999998 1
902 0.0 2e-05 -2e-05 0.0 0.0 -1e-05 -2e-05 0.0 1
903 0.0 2e-05 -2e-05 0.0 0.0 -1e-05 -2e-05 0.0 1
904 0.0 2e-05 -2e-05 0.0 0.0 -1e-05 -2e-05 0.0 1
905 0.0 2e-05 -2e-05 0.0 0.0 -1e-05 -2e-05 0.0 1
906 0.0 2e-05 -2e-05 0.0 0.0 -1e-05 -2e-05 0.0 1
907 0.0 2e-05 -2e-05 0.0 0.0 -1e-05 -2e-05 0.0 1
908 0.0 2e-05 -2e-05 0.0 0.0 -1e-05 -2e-05 0.0 1
909 0.0 2e-05 -2e-05 0.0 0.0 -1e-05 -2e-05 0.0 1
912 0.0 2e-05 -2e-05 0.0 0.0 -1e-05 -2e-05 0.0 1
913 0.0 2e-05 -2e-05 0.0 0.0 -1e-05 -2e-05 0.0 1
914 0.0 2e-05 -2e-05 0.0 0.0 -1e-05 -2e-05 0.0 1
915 0.0 2e-05 -2e-05 0.0 0.0 -1e-05 -2e-05 0.0 1
916 0.0 -1e-05 0.0 -2e-05 -2e-05 -2.9999999999999997e-05 0.0 2e-05 1
917 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
918 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
919 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
920 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
921 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
922 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
923 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
924 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
925 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
926 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
927 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
928 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
929 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
930 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
931 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
932 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
933 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
934 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
935 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
936 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
937 2e-05 -2e-05 -2e-05 -1e-05 -1e-05 -1e-05 1e-05 -5.9999999999999995e-05 1
938 1e-05 -2e-05 0.0 -1e-05 2e-05 1e-05 -1e-05 5e-05 1
939 1e-05 -2e-05 0.0 -1e-05 2e-05 1e-05 -1e-05 5e-05 1
940 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
941 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
942 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
943 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
944 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
945 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
946 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
947 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
948 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
949 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
950 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
951 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
952 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
953 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
954 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
955 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
956 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
957 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
958 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
959 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
960 -2e-05 -1e-05 4e-05 -1e-05 0.0 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 1
961 -2.9999999999999997e-05 -2.9999999999999997e-05 -1e-05 -2.9999999999999997e-05 -2e-05 0.0 0.0 5.9999999999999995e-05 1
962 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
963 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
964 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
965 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
966 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
967 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
968 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
969 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
970 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
971 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
972 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
973 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
974 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
975 5e-05 2e-05 2e-05 1e-05 -1e-05 2.9999999999999997e-05 5.9999999999999995e-05 2e-05 1
976 -1e-05 -1e-05 1e-05 -2.9999999999999997e-05 -2.9999999999999997e-05 -2e-05 -8e-05 -0.00011999999999999999 1
977 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
978 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
979 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
980 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
981 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
982 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
983 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
984 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
985 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
986 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
987 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
988 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
989 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
990 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
991 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
992 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
993 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
994 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
995 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
996 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
997 -2.9999999999999997e-05 1e-05 -2e-05 -1e-05 -1e-05 -5e-05 0.00011 0.0 1
998 1e-05 0.0 -4e-05 1e-05 1e-05 -1e-05 2.9999999999999997e-05 2e-05 1
999 1e-05 0.0 -4e-05 1e-05 1e-05 -1e-05 2.9999999999999997e-05 2e-05 1
1000 -2e-05 -4e-05 -4e-05 -5e-05 -2e-05 -1e-05 -7e-05 1e-05 1
1001 -2e-05 -4e-05 -4e-05 -5e-05 -2e-05 -1e-05 -7e-05 1e-05 1
1002 -2e-05 -4e-05 -4e-05 -5e-05 -2e-05 -1e-05 -7e-05 1e-05 1
1003 -2e-05 -4e-05 -4e-05 -5e-05 -2e-05 -1e-05 -7e-05 1e-05 1
1005 -2e-05 -4e-05 -4e-05 -5e-05 -2e-05 -1e-05 -7e-05 1e-05 1
1006 -2e-05 -4e-05 -4e-05 -5e-05 -2e-05 -1e-05 -7e-05 1e-05 1
1008 -2e-05 -4e-05 -4e-05 -5e-05 -2e-05 -1e-05 -7e-05 1e-05 1
1009 -2e-05 -4e-05 -4e-05 -5e-05 -2e-05 -1e-05 -7e-05 1e-05 1
